shipment_id,origin_city,destination_city,carrier,ship_date,deliver_date,status,delay_days,weight_kg,route_id
SH-0001,Kolkata,Chennai,DHL,2026-02-11,2026-02-12,Delivered,0,137.3,KOL-CHE
SH-0002,Kolkata,Pune,DHL,2026-03-17,2026-03-22,Delivered,0,154.2,KOL-PUN
SH-0003,Mumbai,Kolkata,UPS,2026-02-26,2026-02-27,Delivered,0,418.8,MUM-KOL
SH-0004,Delhi,Kolkata,FedEx,2026-04-26,2026-04-27,Delivered,0,392.0,DEL-KOL
SH-0005,Kolkata,Delhi,UPS,2026-04-13,2026-04-25,Delayed,5,225.5,KOL-DEL
SH-0006,Delhi,Kolkata,FedEx,2026-03-06,2026-03-10,Delivered,0,152.5,DEL-KOL
SH-0007,Hyderabad,Pune,UPS,2026-03-14,2026-03-16,Delivered,0,38.3,HYD-PUN
SH-0008,Hyderabad,Ahmedabad,UPS,2026-04-21,,In Transit,0,471.2,HYD-AHM
SH-0009,Mumbai,Delhi,DHL,2026-04-27,2026-04-30,Delivered,0,449.9,MUM-DEL
SH-0010,Delhi,Hyderabad,FedEx,2026-02-03,2026-02-07,Delivered,0,260.6,DEL-HYD
SH-0011,Pune,Delhi,UPS,2026-01-29,2026-02-03,Delivered,0,289.6,PUN-DEL
SH-0012,Bangalore,Kolkata,BlueDart,2026-03-30,2026-04-07,Delayed,3,347.8,BAN-KOL
SH-0013,Ahmedabad,Chennai,DHL,2026-03-10,2026-03-11,Delivered,0,157.3,AHM-CHE
SH-0014,Pune,Ahmedabad,FedEx,2026-04-20,2026-04-25,Delivered,0,486.4,PUN-AHM
SH-0015,Mumbai,Hyderabad,FedEx,2026-02-25,2026-02-28,Delivered,0,327.7,MUM-HYD
SH-0016,Bangalore,Mumbai,UPS,2026-03-03,,In Transit,0,396.4,BAN-MUM
SH-0017,Chennai,Mumbai,DHL,2026-02-10,2026-02-11,Delivered,0,318.0,CHE-MUM
SH-0018,Ahmedabad,Mumbai,FedEx,2026-03-05,2026-03-06,Delivered,0,353.1,AHM-MUM
SH-0019,Hyderabad,Bangalore,FedEx,2026-04-04,2026-04-05,Delivered,0,496.8,HYD-BAN
SH-0020,Kolkata,Ahmedabad,UPS,2026-04-14,2026-04-17,Delivered,0,197.9,KOL-AHM
